ID,fertilizer,manure,PM25,SO2density,NOX,AET,PPT,TEM,WIND
702011054,0,1828.181937,5.439999992,296.5542548,0.208030583,20.36333333,21.40738292,38.12892562,3.504545455
702021055,0,33816.20962,6.576524392,15792.90303,0.134838688,104.616343,127.3602336,38.35387387,3.373633634
702031057,0,5468.732388,6.643416371,60365.52915,0.730125352,133.8459408,602.7753304,32.68590308,2.52152297
702031058,0,4013.112538,6.433910048,3678.278324,0.352164668,141.3917409,510.6875223,33.26458705,2.525252525
702031061,0,175.8442666,5.733818196,532.7458124,0.097313779,133.0517824,404.6164478,32.41738587,2.507879925
702051065,0,11481.31224,5.139842716,3552.373257,0.271281385,151.6302679,254.7662277,35.02060268,2.189642857
702051066,0,1030.709516,5.138295174,501.8532223,0.132608685,160.6482851,415.1920267,35.3063029,2.809242762
702051067,0,778.2646751,5.478688537,220.6855872,0.434115688,146.5739496,324.4495798,34.64929972,2.108963585
702051068,0,33307.5221,5.343424538,351.7351748,0.124358074,172.57316,217.3378498,36.13985706,2.850456204
801011012,0,1.027191058,12.39999962,68.77275646,201.9579721,46.2,48.4,31,3.5
801011111,0,39.28592418,0,0,0,48.95,51.35,31.05,3.45
801011144,0,16.56810517,0,0,0,0,0,0,0
801031032,31.16376924,9.351744141,13.39999962,5.231853901,12.8435725,43.6,45.73333333,29.36666667,3.9
801031113,9.692864898,20.27719261,0,0,0,46.7,49,30.45,3.55
801031114,0,2.535767445,0,0,0,0,0,0,0
801031115,9.538363634,28.05361259,13.19999981,0,0,42.125,44.15,30.2,3.575
801041043,0,5.873888713,0,0,0,0,0,0,0
801061070,0,0,0,0,0,47.3,49.6,30.7,3.7
801061130,0,10.32374636,0,0,0,43,45.1,30.6,3.4
801071089,0,0,0,0,0,51.725,54.25,29.325,3.925
801071132,0,3.96865973,0,0,0,0,0,0,0
801081091,0,0.024965715,0,0,0,0,0,0,0
801081095,0,22.23225342,0,0,0,51.7,54.2,30.7,3.5
801111140,0,747.2891411,12.02000008,175.8492971,9.986541064,55.175,57.625,30.075,3.729166667
801111141,0,16.50011538,11.35833335,5.029744796,0.711039162,52.66119403,54.61343284,26.98656716,4.271641791
